participant_id, trialIdx,instanceID,question_type,timeTaken,selectedAnswer,correctAnswer,isCorrect
P001,7,5,MX,7.000118,6,3,False
P001,8,2,MX,1.737038,6,1,False
P001,1,1,MX,1.421796,6,4,False
P001,1,3,MX,2.143928,6,1,False
P001,2,2,MX,1.303888,6,1,False
P001,3,7,MX,1.408259,6,2,False
P001,4,4,MX,1.528153,6,3,False
P001,5,1,MX,1.495397,6,4,False
P001,6,6,MX,1.624395,6,2,False
P001,1,4,MX,8.865101,6,3,False
P001,2,7,MX,2.279555,6,2,False
P001,3,6,MX,1.647693,6,2,False
P001,4,1,MX,1.416031,6,4,False
P001,5,8,MX,1.66363,6,4,False
P001,6,2,MX,1.840223,6,1,False
P001,1,2,MX,2.637295,6,1,False
P001,2,7,MX,1.632077,6,2,False
P001,3,8,MX,1.456092,6,4,False
P001,1,1,MX,10.3761,6,4,False
P001,1,3,MX,3.576688,6,1,False
P001,2,4,MX,8.223575,6,3,False
P001,3,2,MX,2.976509,6,1,False
P001,4,7,MX,3.047295,6,2,False
P001,5,8,MX,3.881666,6,4,False
P001,6,5,MX,7.758532,6,3,False
P001,7,6,MX,2.135754,6,2,False
P001,8,1,MX,2.232182,6,4,False
P001,1,2,MX,14.06218,6,1,False
P001,1,3,MX,2.567993,6,1,False
P001,2,5,MX,0.8322754,6,3,False
P001,3,8,MX,0.84021,6,4,False
P001,4,4,MX,1.849487,6,3,False
P001,5,7,MX,1.423096,6,2,False
P001,6,6,MX,1.423218,6,2,False
P001,7,1,MX,1.088013,6,4,False
P001,8,2,MX,1.552002,6,1,False
P001,1,5,MX,6.381824,6,3,False
P001,2,1,MX,2.023795,6,4,False
P001,3,8,MX,2.944211,6,4,False
P001,1,5,MX,4.984578,1,3,False
P001,2,3,MX,4.340598,6,1,False
P001,3,2,MX,1.160368,6,1,False
P001,4,4,MX,0.9436855,6,3,False
P001,5,1,MX,0.9759502,6,4,False
P001,6,8,MX,0.9681244,6,4,False
P001,7,6,MX,1.255805,6,2,False
P001,8,7,MX,1.072127,6,2,False
P001,1,4,MX,7.479635,6,3,False
P001,2,2,MX,1.36974,6,1,False
P001,3,1,MX,0.7912359,6,4,False
P001,4,6,MX,0.7916622,6,2,False
P001,5,7,MX,0.8477688,6,2,False
P001,6,5,MX,0.855566,6,3,False
P001,7,8,MX,1.048656,6,4,False
P001,8,3,MX,0.7836132,6,1,False
P001,1,1,MX,1.856147,6,4,False
